"","trip_id","duration","start_time","end_time","passholder_type","city","month","day","year","dummy","memberType","mDuration","number_trips","by100000"
"169",5365813,203740,2016-02-13,2016-02-14,"Registered","Washington",2,13,2016,0,"member",649876.701628665,1535,228.345144802061
"170",17692,223,2016-02-13,2016-02-13,"Subscriber","Boston",2,13,2016,0,"member",573.27485380117,171,25.6319166827803
"171",8744837,324,2016-02-14,2016-02-15,"Subscriber","Chicago",2,14,2016,0,"member",710.159592529711,589,21.8504391233411
"172",4552802,840,2016-02-14,2016-02-14,"Walk-up","Philly",2,14,2016,0,"shortterm",1816.42458100559,179,11.4167483059842
"173",5363962,461979,2016-02-14,2016-02-15,"Registered","Washington",2,14,2016,0,"member",750344.42895732,1851,275.353005230368
"174",17861,256,2016-02-14,2016-02-14,"Subscriber","Boston",2,14,2016,0,"member",396.663157894737,95,14.2399537126557
"175",8748182,371,2016-02-15,2016-02-16,"Subscriber","Chicago",2,15,2016,0,"member",681.207835642618,2093,77.6451088033156
"176",4553200,1560,2016-02-15,2016-02-15,"Indego30","Philly",2,15,2016,0,"member",1026.99029126214,206,13.1388276594008
"177",5363461,216228,2016-02-15,2016-02-16,"Registered","Washington",2,15,2016,0,"member",689465.74251497,501,74.5282850461451
"178",17949,99,2016-02-15,2016-02-15,"Subscriber","Boston",2,15,2016,0,"member",528.761194029851,201,30.1287441709874
"179",8753370,320,2016-02-16,2016-02-17,"Subscriber","Chicago",2,16,2016,0,"member",620.467814793902,3542,131.399414897919
"180",4553642,720,2016-02-16,2016-02-16,"Indego30","Philly",2,16,2016,0,"member",1143.48,500,31.8903583966038
"181",5360223,397501,2016-02-16,2016-02-17,"Registered","Washington",2,16,2016,0,"member",648148.352378011,3238,481.681810338159
"182",18159,463,2016-02-16,2016-02-16,"Subscriber","Boston",2,16,2016,0,"member",1223.65354330709,381,57.1097091002298
"183",8759466,304,2016-02-17,2016-02-18,"Subscriber","Chicago",2,17,2016,0,"member",622.104066161268,4353,161.485503402214
"184",4554949,480,2016-02-17,2016-02-17,"Indego30","Philly",2,17,2016,0,"member",1146.39225181598,826,52.6828720711895
"185",5354124,240996,2016-02-17,2016-02-18,"Registered","Washington",2,17,2016,0,"member",699897.202558635,6097,906.983939972747
"186",18540,448,2016-02-17,2016-02-17,"Subscriber","Boston",2,17,2016,0,"member",756.493273542601,669,100.279252987018
"187",8765710,450,2016-02-18,2016-02-19,"Subscriber","Chicago",2,18,2016,0,"member",646.078172368991,4618,171.31634613173
"188",4556083,480,2016-02-18,2016-02-18,"Indego30","Philly",2,18,2016,0,"member",1022.97587131367,746,47.5804147277329
"189",5348304,830190,2016-02-18,2016-02-19,"Registered","Washington",2,18,2016,0,"member",686521.721916867,5822,866.075200675961
"190",19209,249,2016-02-18,2016-02-18,"Subscriber","Boston",2,18,2016,0,"member",1351.92407108239,619,92.7845405066725
"191",8773325,241,2016-02-19,2016-02-20,"Customer","Chicago",2,19,2016,0,"shortterm",789.359056987788,5896,218.726976351815
"192",4557190,1200,2016-02-19,2016-02-19,"Indego30","Philly",2,19,2016,0,"member",1315.99465954606,749,47.7717568781125
"193",5342671,951443,2016-02-19,2016-02-20,"Registered","Washington",2,19,2016,0,"member",715478.294514468,5633,837.95973985017
"194",19828,277,2016-02-19,2016-02-19,"Subscriber","Boston",2,19,2016,0,"member",596.44958677686,605,90.6860210121759
"195",8783297,188,2016-02-20,2016-02-21,"Subscriber","Chicago",2,20,2016,0,"member",1197.86158259622,8366,310.357850094858
"196",4558776,360,2016-02-20,2016-02-20,"Walk-up","Philly",2,20,2016,0,"shortterm",2831.42531356899,877,55.9356886276431
"197",5334426,2803284,2016-02-20,2016-02-21,"Registered","Washington",2,20,2016,0,"member",1448515.65712553,8245,1226.51838364364
"198",20433,570,2016-02-20,2016-02-20,"Subscriber","Boston",2,20,2016,0,"member",1964.65798045603,614,92.035069258638
"199",8787180,199,2016-02-21,2016-02-22,"Subscriber","Chicago",2,21,2016,0,"member",747.787412587413,2860,106.098906439313
"200",4560037,1140,2016-02-21,2016-02-21,"Walk-up","Philly",2,21,2016,0,"shortterm",2331.36,750,47.8355375949057
"201",5330172,383974,2016-02-21,2016-02-22,"Registered","Washington",2,21,2016,0,"member",946979.04748472,4254,632.821007158286
"202",21047,213,2016-02-21,2016-02-21,"Subscriber","Boston",2,21,2016,0,"member",869.837037037037,540,80.9428947877273
"203",8794125,363,2016-02-22,2016-02-23,"Subscriber","Chicago",2,22,2016,0,"member",630.444671750046,5377,199.473363609856
"204",4561181,540,2016-02-22,2016-02-22,"Indego30","Philly",2,22,2016,0,"member",1122.3,1000,63.7807167932076
"205",5323024,231907,2016-02-22,2016-02-23,"Registered","Washington",2,22,2016,0,"member",805051.403049804,7148,1063.32970361246
"206",21587,236,2016-02-22,2016-02-22,"Subscriber","Boston",2,22,2016,0,"member",899.651474530831,746,111.821110206749
"207",8801295,236,2016-02-23,2016-02-24,"Subscriber","Chicago",2,23,2016,0,"member",623.557731387401,5413,200.808874320281
"208",4562379,840,2016-02-23,2016-02-23,"Indego30","Philly",2,23,2016,0,"member",1021.11570247934,484,30.8698669279125
"209",5320439,699342,2016-02-23,2016-02-24,"Registered","Washington",2,23,2016,0,"member",666288.194197292,2585,384.54214938979
"210",22333,192,2016-02-23,2016-02-23,"Subscriber","Boston",2,23,2016,0,"member",919.358059914408,701,105.075868974439
"211",8805629,238,2016-02-24,2016-02-25,"Subscriber","Chicago",2,24,2016,0,"member",585.382382720216,2963,109.919950971918
"212",4563768,360,2016-02-24,2016-02-24,"Indego30","Philly",2,24,2016,0,"member",1380.44334975369,406,25.8949710180423
"213",5317160,307632,2016-02-24,2016-02-25,"Registered","Washington",2,24,2016,0,"member",678996.025312595,3279,487.78093146968
"214",23034,347,2016-02-24,2016-02-24,"Subscriber","Boston",2,24,2016,0,"member",17786.164021164,378,56.6600263514091
"215",8811665,270,2016-02-25,2016-02-26,"Subscriber","Chicago",2,25,2016,0,"member",593.143804785596,4221,156.588630797322
"216",4564453,300,2016-02-25,2016-02-25,"Indego30","Philly",2,25,2016,0,"member",1003.1067961165,721,45.9858968079027
"217",5310830,365919,2016-02-25,2016-02-26,"Registered","Washington",2,25,2016,0,"member",682654.533491311,6330,941.644799086024
"218",23412,1296,2016-02-25,2016-02-25,"Subscriber","Boston",2,25,2016,0,"member",1132.0924137931,725,108.673330965004
